instance,time,best_gap,avg_gap,iterations,iter_best,patients
instance1,18.0,0.09060181952498048,0.14214382220744354,18185,6429,44
instance1,60.0,0.09060181952498048,0.14245744906864966,60585,6429,44
instance2,18.0,0.05889126011216439,0.08968168526501405,15131,7690,48
instance2,60.0,0.05889126011216439,0.08929002337284957,50220,7690,49
instance3,18.0,0.057785959170952195,0.08498005458732955,13510,12245,50
instance3,60.0,0.05771778089449897,0.08611090138786616,45001,28336,50
instance4,18.0,0.08559517784937298,0.13636253284573335,6459,6096,125
instance4,60.0,0.08533963994207805,0.13733540824717827,21571,8085,125
instance5,18.0,0.039114292610032964,0.09294648210425893,5610,5533,128
instance5,60.0,0.024355926197897726,0.08124261134575757,18541,12688,132
instance6,18.0,0.03309235883108674,0.07276536872891892,5069,4671,133
instance6,60.0,0.03289862756693929,0.06940981241095276,16857,9601,134
instance7,18.0,0.05709186958003565,0.0670736441959481,4297,4053,150
instance7,60.0,0.04864240542280451,0.06682593569030934,14588,5738,150
instance8,18.0,0.034592199096248555,0.04851758855352134,3733,3659,150
instance8,60.0,0.024819298092832898,0.04682197680385941,12675,12289,150
instance9,18.0,0.03161656712033678,0.04825480330535436,3299,3140,150
instance9,60.0,0.021144619602467496,0.044605840823018564,11198,10902,150
instance10,18.0,0.0529315249366511,0.06938858789859106,3476,3461,150
instance10,60.0,0.04859661556683914,0.06775159882788016,11784,7406,150
instance11,18.0,0.032624638936307626,0.055116099259643725,3106,2891,150
instance11,60.0,0.026767522539886013,0.05015717054665507,10496,10499,150
instance12,18.0,0.014905043384229821,0.04297378443075449,2611,2495,150
instance12,60.0,0.006545325992586504,0.03357503411213116,8884,8181,150
instance13,18.0,0.03123611434375062,0.06031301564374584,2744,2738,150
instance13,60.0,0.02664988045111194,0.05240912843931095,9324,9459,150
instance14,18.0,-0.0030746581353868763,0.03600789838809758,2482,2535,150
instance14,60.0,-0.009433481498258844,0.02004017117228437,8363,5053,150
instance15,18.0,0.016758020121488193,0.05735044913977685,2074,2078,150
instance15,60.0,-0.003375332194381242,0.03216233910930496,7034,7063,150
