sum,Organization Location,GPT_living,GPT_housing
3445350000,"Dublin, Dublin, Ireland, Europe",3000,"As of my last update, the average cost of housing in Dublin is approximately 500,000 euros."
1893000000,"Bezons, Ile-de-France, France, Europe",1500,300000
1121000000,"Eindhoven, Noord-Brabant, The Netherlands, Europe",1500,"400,000"
7284509737,"London, England, United Kingdom, Europe",3000,"As of my last update, I can't provide real-time data or specific figures. For the most accurate and up-to-date information, please refer to a reliable real estate website or a local housing market report."
1782400000,"Gothenburg, Vastra Gotaland, Sweden, Europe",1500,"500,000"
1609200000,"Schaffhausen, Schaffhausen, Switzerland, Europe",2500,"800,000"
600000000,"Alphen Aan Den Rijn, Zuid-Holland, The Netherlands, Europe",1500,"350,000"
600000000,"Pesaro, Marche, Italy, Europe",1200,"250,000"
650000000,"Louvain-la-neuve, Vlaams-Brabant, Belgium, Europe",1200,300000
2534849994,"Paris, Ile-de-France, France, Europe",2500,12000
500000000,"Heidelberg, Baden-Wurttemberg, Germany, Europe",1500,"450,000"
1795310000,"Berlin, Berlin, Germany, Europe",1500,"500,000"
454000000,"Cologne, Nordrhein-Westfalen, Germany, Europe",1500,"450,000"
375500000,"Zürich, Zurich, Switzerland, Europe",3500,1500000
321300000,"Geneva, Geneve, Switzerland, Europe",3500,1500000
565950000,"Barcelona, Catalonia, Spain, Europe",1500,"450,000"
284099889,"Zagreb, Grad Zagreb, Croatia, Europe",1200,3000
179700000,"Newry, Newry and Mourne, United Kingdom, Europe",1500,"180,000"
583233394,"Milan, Lombardia, Italy, Europe",1500,"500,000"
3453100000,"Stockholm, Stockholms Lan, Sweden, Europe",2500,"700,000"
203700000,"Oxford, Oxfordshire, United Kingdom, Europe",2500,"500,000"
216000000,"Luxembourg, Luxembourg, Luxembourg, Europe",3500,1200000
116000000,"Saint-cloud, Ile-de-France, France, Europe",2500,"750,000"
100000000,"Warwick, Warwickshire, United Kingdom, Europe",1500,"350,000"
135700000,"Mannheim, Baden-Wurttemberg, Germany, Europe",1500,"350,000"
108000000,"La Garenne-colombes, Ile-de-France, France, Europe",2500,7500
104700000,"Knutsford, Cheshire, United Kingdom, Europe",1500,400000
288252179,"Vienna, Wien, Austria, Europe",1500,"600,000"
6607600000,"Amsterdam, Noord-Holland, The Netherlands, Europe",2500,"700,000"
100000000,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",1500,"450,000"
109000000,"Reading, Reading, United Kingdom, Europe",1500,"350,000"
100000000,"Kings Langley, Hertford, United Kingdom, Europe",1500,"450,000"
232200000,"Hamburg, Hamburg, Germany, Europe",2000,500000
179000000,"Suresnes, Ile-de-France, France, Europe",2500,6500
273000000,"Copenhagen, Hovedstaden, Denmark, Europe",3000,"600,000"
389237201,"Oslo, Oslo, Norway, Europe",2500,700000
73600000,"Linz, Oberosterreich, Austria, Europe",1500,300000
223590000,"Manchester, Manchester, United Kingdom, Europe",2200,"300,000"
80000000,"Stowmarket, Suffolk, United Kingdom, Europe",1500,280000
257130000,"Cambridge, Cambridgeshire, United Kingdom, Europe",2500,"500,000"
70000000,"Lisboa, Lisboa, Portugal, Europe",1500,"500,000"
60000000,"Birmingham, Birmingham, United Kingdom, Europe",2000,"As of my last update, I don't have real-time data to provide current housing prices. For the most accurate and up-to-date information, please refer to a reliable real estate website or local housing market report."
70000000,"Antwerpen, Antwerpen, Belgium, Europe",1500,300000
462700000,"Munich, Bayern, Germany, Europe",2000,800000
60000000,"Blackrock, Dublin, Ireland, Europe",2500,650000
60000000,"Rostock, Mecklenburg-Vorpommern, Germany, Europe",1200,"300,000"
50000000,"Norwich, Norfolk, United Kingdom, Europe",1500,250000
55000000,"Groningen, Groningen, The Netherlands, Europe",1500,"350,000"
78000000,"Bristol, Bristol, City of, United Kingdom, Europe",2000,"350,000"
58000000,"Palaiseau, Ile-de-France, France, Europe",1500,"400,000"
163900000,"Tallinn, Harjumaa, Estonia, Europe",1300,"150,000"
45000000,"Arcueil, Ile-de-France, France, Europe",1500,"400,000"
89590000,"Lyon, Rhone-Alpes, France, Europe",1500,"500,000"
49000000,"Toulouse, Midi-Pyrenees, France, Europe",1500,4000
164400000,"Helsinki, Southern Finland, Finland, Europe",2200,"500,000"
40000000,"Hanover, Niedersachsen, Germany, Europe",1500,"350,000"
63800000,"Nantes, Pays de la Loire, France, Europe",1500,"350,000"
43000000,"Esslingen, Baden-Wurttemberg, Germany, Europe",1500,"450,000"
105500000,"München, Bayern, Germany, Europe",2500,800000
76500000,"Ghent, Oost-Vlaanderen, Belgium, Europe",1500,"350,000"
37000000,"Sophia Antipolis, Provence-Alpes-Cote d'Azur, France, Europe",1500,500000
37000000,"Witten, Nordrhein-Westfalen, Germany, Europe",1200,"250,000"
66130000,"Solna, Stockholms Lan, Sweden, Europe",1500,"500,000"
60700000,"Reykjavík, Gullbringusysla, Iceland, Europe",2500,"500,000"
45000000,"Spilimbergo, Friuli-Venezia Giulia, Italy, Europe",1200,"150,000"
45000000,"Marseille, Provence-Alpes-Cote d'Azur, France, Europe",1500,400000
50000375,"Limerick, Limerick, Ireland, Europe",1500,"As of my last update, I don't have real-time data to provide current housing prices. For the most accurate and up-to-date information, please consult a reliable real estate website or local listings in Limerick."
35000000,"Bucharest, Bucuresti, Romania, Europe",1000,150000
32000000,"Passau, Bayern, Germany, Europe",1500,"350,000"
30000000,"Haarlem, Noord-Holland, The Netherlands, Europe",2000,"450,000"
49300000,"Karlsruhe, Baden-Wurttemberg, Germany, Europe",1500,"400,000"
38700000,"Cluj-napoca, Cluj, Romania, Europe",1000,"150,000"
46110000,"Bath, Bath and North East Somerset, United Kingdom, Europe",1500,450000
23400000,"Richmond, Richmond upon Thames, United Kingdom, Europe",2500,"700,000"
27500000,"Bremen, Bremen, Germany, Europe",1500,300000
28000000,"Freiburg Im Breisgau, Baden-Wurttemberg, Germany, Europe",1500,"450,000"
28000000,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",1200,250000
171008406,"Madrid, Madrid, Spain, Europe",1500,"400,000"
29400000,"Leeds, Leeds, United Kingdom, Europe",1500,"250,000"
25000000,"Cachan, Ile-de-France, France, Europe",1500,"450,000"
25000000,"Pescara, Abruzzi, Italy, Europe",1200,"150,000"
25000000,"Donostia-san Sebastián, Pais Vasco, Spain, Europe",1500,500000
32000000,"Lausanne, Vaud, Switzerland, Europe",3000,1500000
33000000,"Us, Picardie, France, Europe",1500,"150,000"
58000000,"Stuttgart, Baden-Wurttemberg, Germany, Europe",1500,"500,000"
24200000,"Delft, Zuid-Holland, The Netherlands, Europe",1500,"400,000"
24000000,"Péronnas, Rhone-Alpes, France, Europe",1500,"250,000"
23000000,"Antwerp, Antwerpen, Belgium, Europe",1500,300000
23000000,"La Marina, Comunidad Valenciana, Spain, Europe",1200,200000
35000000,"Montrouge, Ile-de-France, France, Europe",2500,6500
22000000,"Puteaux, Ile-de-France, France, Europe",2500,7500
39000000,"Koblenz, Rheinland-Pfalz, Germany, Europe",1500,"300,000"
22000000,"Saint Gallen, Sankt Gallen, Switzerland, Europe",2500,"700,000"
22000000,"Monza, Lombardia, Italy, Europe",1500,"350,000"
26200000,"Tampere, Western Finland, Finland, Europe",1500,"250,000"
20700000,"Issy-les-moulineaux, Ile-de-France, France, Europe",2500,8500
33000000,"Utrecht, Utrecht, The Netherlands, Europe",2000,"450,000"
48250000,"Zug, Zug, Switzerland, Europe",3500,1500000
26500000,"Lund, Skane Lan, Sweden, Europe",1500,"500,000"
34500000,"Valencia, Comunidad Valenciana, Spain, Europe",1200,"250,000"
20000000,"Bray, Wicklow, Ireland, Europe",2000,450000
158700000,"Malmö, Skane Lan, Sweden, Europe",1500,"400,000"
20000000,"Århus, Midtjylland, Denmark, Europe",1500,"350,000"
20000000,"Antrim, Antrim, United Kingdom, Europe",1500,200000
20000000,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom, Europe",1500,"220,000"
18500000,"Marbella, Andalucia, Spain, Europe",1500,"500,000"
25500000,"Oporto, Porto, Portugal, Europe",1200,"250,000"
17400000,"Københoved, Syddanmark, Denmark, Europe",1500,"I'm sorry, but I don't have the specific data for the average cost of housing in Københoved, Syddanmark, Denmark."
18000000,"Capannori, Toscana, Italy, Europe",1200,"250,000"
19000000,"Alpnach, Obwalden, Switzerland, Europe",3500,"800,000"
17000000,"Effretikon, Zurich, Switzerland, Europe",2500,"800,000"
17000000,"Dundalk, Louth, Ireland, Europe",1500,250000
31500000,"Jena, Thuringen, Germany, Europe",1200,"300,000"
34000000,"Istanbul, Istanbul, Turkey, Europe",1000,150000
15000000,"Hilversum, Noord-Holland, The Netherlands, Europe",1500,"450,000"
15000000,"Espoo, Southern Finland, Finland, Europe",2000,400000
28600000,"Osnabrück, Niedersachsen, Germany, Europe",1500,300000
25100000,"Leuven, Vlaams-Brabant, Belgium, Europe",1500,"350,000"
